Long,Lat,TempC,HumedadSuelo,HumedadRelativa,NAME_1
-83.95,10.15,19.2,1.032,73.4,San José
-83.95,10.1,17,0.823,81.9,San José
-84,10.05,13.4,0.458,84.6,San José
-83.95,10.05,14.3,0.458,84.1,San José
-83.9,10.05,13,0.543,82.1,San José
-84,10,14.4,0.458,81.7,San José
-83.95,10,12.1,0.458,81.6,San José
-83.9,10,9.9,0.543,68.5,San José
-84.2,9.95,18.7,0,60.4,San José
-84.15,9.95,17.4,0,67.2,San José
-84.1,9.95,16.5,0,72.5,San José
-84.05,9.95,15.9,0,74.7,San José
-84,9.95,14.6,0.458,77.4,San José
-83.95,9.95,11.6,0.458,72.7,San José
-84.5,9.9,23.2,0.054,45.7,San José
-84.45,9.9,21.4,0.054,47.1,San José
-84.4,9.9,20.1,0.133,49.5,San José
-84.35,9.9,20.1,0.133,51.2,San José
-84.3,9.9,20.5,0,52.6,San José
-84.25,9.9,18.6,0,55.9,San José
-84.2,9.9,15.6,0.038,50.4,San José
-84.15,9.9,15,0.038,59.7,San José
-84.1,9.9,16.3,0.059,70,San José
-84.05,9.9,16,0.059,71.8,San José
-84,9.9,15.3,0.252,73,San José
-84.55,9.85,24,0,47.5,San José
-84.5,9.85,23.2,0.421,49.7,San José
-84.45,9.85,22,0.421,50.9,San José
-84.4,9.85,20.5,0.361,54,San José
-84.35,9.85,17.1,0.361,45.4,San José
-84.3,9.85,17.7,0.649,50.6,San José
-84.25,9.85,19.1,0.649,60.4,San José
-84.2,9.85,16,0.372,55.2,San José
-84.15,9.85,13.2,0.372,47.9,San José
-84.1,9.85,14.3,0.155,70.3,San José
-84.05,9.85,15.2,0.155,74,San José
-84.55,9.8,22.1,0,47.5,San José
-84.5,9.8,19.1,0.421,43.8,San José
-84.45,9.8,16.4,0.421,40.2,San José
-84.4,9.8,18.4,0.361,49,San José
-84.35,9.8,19.4,0.361,57.9,San José
-84.3,9.8,17.5,0.649,52.3,San José
-84.25,9.8,18.8,0.649,66.5,San José
-84.2,9.8,17,0.372,69.6,San José
-84.15,9.8,16.6,0.372,75.1,San José
-84.1,9.8,14.1,0.155,73.9,San José
-84.05,9.8,13.8,0.155,78.4,San José
-84.55,9.75,20,0,42,San José
-84.5,9.75,20.4,0.502,52.6,San José
-84.45,9.75,19.6,0.502,52.3,San José
-84.4,9.75,18.1,0.491,46.4,San José
-84.35,9.75,21.8,0.491,62.9,San José
-84.3,9.75,18,0.652,54.3,San José
-84.25,9.75,17.8,0.652,58.1,San José
-84.2,9.75,16.9,0.669,59.8,San José
-84.15,9.75,14.8,0.669,58.2,San José
-84.1,9.75,16.8,0,70.5,San José
-84.05,9.75,13.9,0,68.1,San José
-84,9.75,12.2,0.39,64.6,San José
-84.55,9.7,21.5,0,49.4,San José
-84.5,9.7,21.1,0.502,57,San José
-84.45,9.7,22.5,0.502,64.7,San José
-84.4,9.7,20.3,0.491,56.2,San José
-84.35,9.7,18.4,0.491,50.3,San José
-84.3,9.7,19.6,0.652,57.9,San José
-84.25,9.7,20.1,0.652,57.9,San José
-84.2,9.7,16.1,0.669,48.1,San José
-84.15,9.7,13.6,0.669,47.4,San José
