Lat,Long,TempC,HumedadSuelo,HumedadRelativa
11.25,-86,24.5,,79.7
11.25,-85.95,24.4,,79.9
11.25,-85.9,24.4,,80.1
11.25,-85.85,23.6,,85.6
11.25,-85.8,21.8,0.069,86.3
11.25,-85.75,21.6,0.069,88.9
11.25,-85.7,23.3,0.188,87.3
11.25,-85.65,23.2,0.188,89
11.25,-85.6,23.3,0.39,91.1
11.25,-85.55,23.2,0.39,92.1
11.25,-85.5,22.9,,94
11.25,-85.45,22.9,,94.1
11.25,-85.4,23,,94.1
11.25,-85.35,23,,94.2
11.25,-85.3,23,,94.4
11.25,-85.25,23.1,,94.7
11.25,-85.2,23.1,,95
11.25,-85.15,23.1,,95.2
11.25,-85.1,23.1,,95.3
11.25,-85.05,23,,95.2
11.25,-85,22.9,,95
11.25,-84.95,22.8,,95.6
11.25,-84.9,22.8,,96.2
11.25,-84.85,22.8,,95.9
11.25,-84.8,22.8,,96.6
11.25,-84.75,22.6,,96.7
11.25,-84.7,22.4,0.002,97.1
11.25,-84.65,21.2,0.002,97.5
11.25,-84.6,21.5,0.016,98.2
11.25,-84.55,22.2,0.016,97.1
11.25,-84.5,21.9,0.592,96.2
11.25,-84.45,22,0.592,96.2
11.25,-84.4,22,0.581,96.4
11.25,-84.35,21.8,0.581,96.4
11.25,-84.3,21.6,0.526,95.7
11.25,-84.25,20.2,0.526,91.7
11.25,-84.2,20.3,0.825,92.5
11.25,-84.15,21.6,0.825,98.5
11.25,-84.1,21.9,1.075,100
11.25,-84.05,21.8,1.075,99.1
11.25,-84,21.7,0.919,99.5
11.25,-83.95,22.8,0.919,95.4
11.25,-83.9,23.2,0.848,91.5
11.25,-83.85,24.3,0.848,80.5
11.25,-83.8,25,,73.9
11.25,-83.75,25.3,,70.3
11.25,-83.7,25.5,,66.8
11.25,-83.65,25.5,,67.5
11.25,-83.6,25.6,,68.2
11.25,-83.55,25.6,,68.2
11.25,-83.5,25.7,,68.3
11.25,-83.45,25.8,,68.3
11.25,-83.4,25.8,,68.4
11.25,-83.35,25.8,,68.7
11.25,-83.3,25.7,,69.1
11.25,-83.25,25.7,,68.8
11.25,-83.2,25.7,,68.5
11.25,-83.15,25.8,,69
11.25,-83.1,25.8,,69.5
11.25,-83.05,25.8,,70
11.25,-83,25.8,,70.4
11.25,-82.95,25.8,,70.7
11.25,-82.9,25.8,,70.9
11.25,-82.85,25.8,,71.2
11.25,-82.8,25.8,,71.6
11.25,-82.75,25.8,,72
11.25,-82.7,25.8,,72.3
11.25,-82.65,25.8,,72.7
11.25,-82.6,25.8,,73.1
11.25,-82.55,25.9,,73.9
11.25,-82.5,25.9,,74.6
11.2,-86,24.5,,80
11.2,-85.95,24.5,,80.2
11.2,-85.9,24.5,,80.5
11.2,-85.85,24.5,,80.4
11.2,-85.8,23.6,0.069,84.2
11.2,-85.75,23.2,0.069,86.2
11.2,-85.7,22.4,0.188,89.4
11.2,-85.65,22.6,0.188,90.1
11.2,-85.6,23.1,0.39,91.3
11.2,-85.55,21.7,0.39,94.4
11.2,-85.5,22.7,,95.8
11.2,-85.45,22.7,,95.8
11.2,-85.4,22.8,,95.8
11.2,-85.35,22.8,,95.5
11.2,-85.3,22.9,,95.2
11.2,-85.25,23,,95.2
11.2,-85.2,23.1,,95.3
11.2,-85.15,23.1,,95.4
11.2,-85.1,23.1,,95.5
11.2,-85.05,23,,95.1
11.2,-85,23,,94.6
11.2,-84.95,22.9,,94.9
11.2,-84.9,22.8,,95.2
11.2,-84.85,22.6,,97.9
11.2,-84.8,22.4,,100
11.2,-84.75,22.4,,98.2
11.2,-84.7,22.1,0.002,98
11.2,-84.65,22,0.002,98.5
11.2,-84.6,21.5,0.016,98.9
11.2,-84.55,22.1,0.016,97.1
11.2,-84.5,21.6,0.592,95.2
11.2,-84.45,22.1,0.592,94.9
11.2,-84.4,22,0.581,94.3
11.2,-84.35,21.7,0.581,93.6
11.2,-84.3,20.8,0.526,90.8
11.2,-84.25,21.3,0.526,93.9
11.2,-84.2,20.5,0.825,91.7
11.2,-84.15,20.7,0.825,93.6
11.2,-84.1,21.3,1.075,97.3
11.2,-84.05,21.2,1.075,96.8
11.2,-84,21.8,0.919,98.8
11.2,-83.95,22.6,0.919,95.5
11.2,-83.9,23.1,0.848,92.4
11.2,-83.85,24.2,0.848,81.1
11.2,-83.8,25,,74.1
11.2,-83.75,25.3,,70.5
11.2,-83.7,25.4,,67.1
11.2,-83.65,25.5,,67.7
11.2,-83.6,25.5,,68.3
11.2,-83.55,25.6,,68.1
11.2,-83.5,25.7,,68
11.2,-83.45,25.7,,68.2
11.2,-83.4,25.7,,68.4
11.2,-83.35,25.7,,68.7
11.2,-83.3,25.7,,68.9
11.2,-83.25,25.7,,68.6
11.2,-83.2,25.7,,68.3
11.2,-83.15,25.7,,68.7
11.2,-83.1,25.8,,69.2
11.2,-83.05,25.8,,69.7
11.2,-83,25.7,,70.3
11.2,-82.95,25.7,,70.6
11.2,-82.9,25.8,,70.9
11.2,-82.85,25.8,,71.5
11.2,-82.8,25.8,,72
11.2,-82.75,25.8,,72.2
11.2,-82.7,25.8,,72.3
11.2,-82.65,25.8,,72.7
11.2,-82.6,25.8,,73.1
11.2,-82.55,25.8,,74
11.2,-82.5,25.8,,74.8
11.15,-86,24.5,,80
11.15,-85.95,24.5,,80.3
11.15,-85.9,24.5,,80.7
11.15,-85.85,24.4,,81.4
11.15,-85.8,24.4,0.069,82.2
11.15,-85.75,22.9,0.069,88.2
11.15,-85.7,21.6,0.188,92.1
11.15,-85.65,22.3,0.188,90.6
11.15,-85.6,22.7,0.39,90.8
11.15,-85.55,22.1,0.39,92.8
11.15,-85.5,21.2,,96.2
11.15,-85.45,22.6,,94.7
11.15,-85.4,22.9,,95.3
11.15,-85.35,23,,94.6
11.15,-85.3,23,,93.8
11.15,-85.25,23,,93.2
11.15,-85.2,23.1,,92.7
11.15,-85.15,23,,94.1
11.15,-85.1,22.9,,96.4
11.15,-85.05,22.9,,96.5
11.15,-85,22.9,,96.7
11.15,-84.95,22.8,,96.5
11.15,-84.9,22.7,,96.4
11.15,-84.85,22.5,,99.2
11.15,-84.8,22.3,,100
11.15,-84.75,22.4,,99.3
11.15,-84.7,22.2,0.002,99.1
11.15,-84.65,22.2,0.002,99.6
11.15,-84.6,22.1,0.016,100
11.15,-84.55,21.9,0.016,98.1
11.15,-84.5,21.7,0.592,96.3
11.15,-84.45,22,0.592,95.4
11.15,-84.4,21.9,0.581,94.5
11.15,-84.35,22.1,0.581,94.1
11.15,-84.3,22.1,0.526,94.3
11.15,-84.25,21.5,0.526,94
11.15,-84.2,21.1,0.825,93.5
11.15,-84.15,20.8,0.825,93.3
11.15,-84.1,21.5,1.075,97.5
11.15,-84.05,21.8,1.075,97.2
11.15,-84,22.1,0.919,98.4
11.15,-83.95,22.4,0.919,95.2
11.15,-83.9,22.9,0.848,92.2
11.15,-83.85,23.4,0.848,86.3
11.15,-83.8,24.7,,75.2
11.15,-83.75,25.1,,71.4
11.15,-83.7,25.3,,67.8
11.15,-83.65,25.4,,68.1
11.15,-83.6,25.4,,68.4
11.15,-83.55,25.5,,68.4
11.15,-83.5,25.6,,68.3
11.15,-83.45,25.6,,68.5
11.15,-83.4,25.7,,68.7
11.15,-83.35,25.7,,68.9
11.15,-83.3,25.7,,69
11.15,-83.25,25.7,,68.8
11.15,-83.2,25.7,,68.7
11.15,-83.15,25.7,,68.9
11.15,-83.1,25.7,,69.2
11.15,-83.05,25.7,,69.5
11.15,-83,25.7,,69.9
11.15,-82.95,25.7,,70.2
11.15,-82.9,25.7,,70.6
11.15,-82.85,25.8,,71.3
11.15,-82.8,25.8,,72
11.15,-82.75,25.8,,72.3
11.15,-82.7,25.8,,72.5
11.15,-82.65,25.8,,72.7
11.15,-82.6,25.8,,72.9
11.15,-82.55,25.8,,73.9
11.15,-82.5,25.8,,74.9
11.1,-86,24.6,,80
11.1,-85.95,24.5,,80.4
11.1,-85.9,24.5,,80.9
11.1,-85.85,24.4,,82.5
11.1,-85.8,24.4,,84
11.1,-85.75,22.9,,90.4
11.1,-85.7,22.8,0.112,89.1
11.1,-85.65,22,0.112,91.2
11.1,-85.6,22.3,0.358,90.7
11.1,-85.55,20.7,0.358,94.6
11.1,-85.5,20.6,0.491,97.2
11.1,-85.45,21.2,0.491,97.2
